SL,Heat,Virus,Random
1776,49.72228892,1,1.21E-05
6706,49.34093637,2,5.60E-05
6956,49.53141257,0,7.63E-05
3104,49.31172469,2,7.88E-05
7169,49.76390556,0,0.000146017
1370,49.94117647,1,0.000284805
7499,49.52581032,1,0.000303032
5215,49.62905162,0,0.000311884
9021,49.78991597,1,0.000419494
7482,49.44017607,2,0.000434996
6079,49.49819928,1,0.000488298
4169,49.50980392,2,0.000510882
4091,49.32933173,0,0.000517414
2610,49.72068828,0,0.000550313
5183,49.43417367,0,0.00057513
9011,49.59703882,2,0.000595343
8828,49.63985594,0,0.000655844
3404,49.55662265,0,0.000828235
358,49.41936775,2,0.000906192
1819,49.24129652,1,0.000916754
200,49.78871549,2,0.000973767
2120,49.36934774,2,0.000979688
3981,49.45258103,2,0.001074658
2715,49.59183673,0,0.001087637
8389,49.69387755,2,0.001164144
2289,49.05682273,2,0.001206489
7072,49.35654262,2,0.001254601
735,49.64865946,1,0.00126205
4213,49.72028812,2,0.001265206
2810,49.6442577,0,0.00128201
61,49.70948379,0,0.001296615
3196,49.68947579,0,0.001365202
9829,49.70308123,0,0.001433776
84,49.6382553,2,0.001440648
2580,49.6202481,2,0.001454191
9718,49.96758703,2,0.001481881
7200,49.39495798,1,0.001496364
8702,49.64345738,2,0.001524708
746,49.48059224,0,0.001533491
4868,49.62745098,0,0.001534182
9474,49.29651861,2,0.001537367
6611,49.35254102,0,0.001569182
8301,49.59183673,1,0.001570156
5897,49.60144058,1,0.001703458
5146,49.53941577,2,0.001723716
7351,49.21848739,0,0.001727793
2166,49.31612645,2,0.001776851
3705,49.54941977,2,0.00178199
8607,49.33373349,0,0.00187981
9498,49.82953181,0,0.00188818
8369,49.54141657,2,0.001893446
374,49.44657863,0,0.001925298
8912,49.74789916,1,0.001930645
4604,49.71148459,0,0.001954581
7998,49.67747099,2,0.00197814
1642,49.49539816,1,0.001985192
3955,49.42136855,1,0.0020288
6977,49.41936775,1,0.002077172
2459,49.38695478,2,0.002081187
5872,49.7194878,2,0.002091731
4759,49.61344538,1,0.002107225
9621,49.65386154,2,0.002113729
450,49.57743097,1,0.002255164
4992,49.5090036,1,0.002255667
9930,49.21288515,0,0.00231416
9463,49.51340536,1,0.002330413
5296,49.30172069,2,0.002368704
5790,49.20688275,0,0.002408136
807,49.53421369,0,0.002408314
7323,49.76430572,1,0.002440174
6082,49.81992797,2,0.00246821
9052,49.3517407,1,0.002510195
3885,49.3857543,2,0.002578772
2085,49.62905162,0,0.002643524
9042,49.5130052,0,0.002691813
2573,49.46018407,0,0.002722647
